symbol
ABX
AEM
AG
AGI
ANV
ASR.TO
AU
AUY
BCM.V
BSX.TO
BTG
CDE
CG.TO
DRD
DRGDF
EDV.TO
EGO
FNV
FSM
GFI
GOLD
GORO
GG
GSS
GQM.TO
GUYFF
HL
HMY
IAG
KGC
KLDX
MAG
MDRPF
NCMGY
NEM
NMI.TO
NGD
PAAS
PPP
RBYCF
RGLD
SA
SAND
SBGL
ROGFF
SMF.TO
SBB.TO
SLW
SSRI
SVM.TO
TAHO
TGD
TMR.TO
TXG.TO
