,2008_01_31,2008_02_29,2008_03_31,2008_04_30,2008_05_30,2008_06_30,2008_07_31,2008_08_29,2008_09_30,2008_10_31,2008_11_28,2008_12_31,2009_01_30,2009_02_27,2009_03_31,2009_04_30,2009_05_29,2009_06_30,2009_07_31,2009_08_31,2009_09_30,2009_10_30,2009_11_30,2009_12_31,2010_01_29,2010_02_26,2010_03_31,2010_04_30,2010_05_28,2010_06_30,2010_07_30,2010_08_31,2010_09_30,2010_10_29,2010_11_30,2010_12_31,2011_01_31,2011_02_28,2011_03_31,2011_04_29,2011_05_31,2011_06_30,2011_07_29,2011_08_31,2011_09_30,2011_10_31,2011_11_30,2011_12_30,2012_01_31,2012_02_29,2012_03_30,2012_04_30,2012_05_31,2012_06_29,2012_07_31,2012_08_31,2012_09_28,2012_10_31,2012_11_30,2012_12_31,2013_01_31,2013_02_28,2013_03_28,2013_04_30,2013_05_31,2013_06_28,2013_07_31,2013_08_30,2013_09_30,2013_10_31,2013_11_29,2013_12_31,2014_01_31,2014_02_28,2014_03_31,2014_04_30,2014_05_30,2014_06_30,2014_07_31,2014_08_29,2014_09_30,2014_10_31,2014_11_28,2014_12_31,2015_01_30,2015_02_27,2015_03_31,2015_04_30,2015_05_29,2015_06_30,2015_07_31,2015_08_31,2015_09_30,2015_10_30,2015_11_30,2015_12_31,2016_01_29,2016_02_29,2016_03_31,2016_04_29,2016_05_31,2016_06_30,2016_07_29,2016_08_31,2016_09_30,2016_10_10
Portfolio_Value,99997.64499999999,109075.51340700001,99521.067815000017,92065.600275000033,98684.894473000022,102328.03024600004,93421.382054000031,81933.828705000007,74264.924431000036,45084.910664000032,54386.207851000043,70493.120981000029,76392.042427000037,72397.243952000033,80459.00995300003,74667.292408000052,137133.91139600004,116108.12662700005,123526.05143600004,123286.22605500002,143313.07147900003,135775.57808500002,166449.47155200003,155216.55582100007,139110.11714400005,148607.90507100002,152467.32559400008,173803.31722600001,168400.9963480001,173502.07199600007,164010.4679600001,182326.50802700015,196774.03247300009,201470.26243400018,219202.12347500009,230051.61702700006,201104.80456700019,227873.87702500017,235585.90271300005,248125.3753880001,230478.49425600012,214470.22803800006,231451.45137500012,247790.72199100006,211954.07537500004,230782.14007700005,237788.1803390001,208547.21048200008,230021.29109400013,229981.9206460001,205445.84632300006,195709.70327700011,184436.216957,188958.6476630001,188706.78798300005,218289.18182699999,243970.06101000009,238554.09222000005,218308.40527100005,217303.4616920001,193896.87754000013,174443.57315600009,178895.49255000008,146486.59394600012,141072.19631700011,119086.95827500008,132031.8413130001,143002.70660000015,128576.40727800014,127964.32275500012,116273.04286100015,111865.89758300019,124181.85220500016,143307.73256900025,133984.96822100022,137860.25110100023,124593.16886400018,148847.08677100021,146062.21828100021,151311.97768300021,119158.73754800024,96325.353629000223,103537.80747700024,107624.91781800025,128725.68688900022,122336.29012600023,103734.61996400025,114877.61956200028,109150.79435000029,100208.54537800027,78579.277084000263,81966.770568000269,77444.474192000242,85675.004762000244,78496.07483500024,79669.721763000241,82556.314293000265,119233.62407200028,129066.58912900026,171870.05073500032,150428.19408100029,184635.16755800028,210238.64919700028,173882.66504400023,183580.37449500032,158422.97320100034
Cash,197.06418799999483,298.20464600000196,284.6896300000144,235.28967200002171,251.26462200002607,275.41945900003793,255.65041000003475,219.06936000002213,168.88450000002575,98.171002000029404,197.14920300002839,200.54151200003159,219.33201400003711,228.02518400003692,219.36136600003488,149.16995900005259,259.87354400003159,214.3690250000447,230.95962700003264,203.15532100004253,256.05140300004075,281.85019000002376,285.23539400004722,271.00543600005653,184.88538900003914,259.87540900003478,292.08542800005034,266.63530700003321,285.18543600004523,296.43563800006996,215.79629300009219,305.69558900011543,412.67556700012028,356.30051900014587,359.72098200014847,369.60597600011533,358.72640100015815,366.32563400014988,354.33019100011188,203.19746600008693,365.40445600007479,388.82929900007366,283.99931800009108,353.77019300010579,278.20488700006536,295.85056600005919,379.37049500009743,296.14102900007492,260.52106100009223,313.97876400009045,311.77378200009844,284.29374400008965,258.31761300005564,319.87766200005535,272.34765500003959,319.17447300001913,222.84536900003877,325.68616200004908,331.00745600006667,298.35249600008319,356.5574750001033,280.32245800009696,245.01247200010221,267.72257900009754,261.61759400010487,165.18757900011224,235.89253500012092,211.12754700013124,196.18754800013994,193.88256400011596,147.37259200014341,139.60756500017214,193.7025680001816,181.91259700022238,231.13760100023592,151.18260300022212,225.9576500002222,319.08769200021561,246.89771000021665,251.82768400023633,202.8176850002319,173.852733000238,137.23774000024969,204.09774200025277,238.11687200021788,222.16976000023988,230.74976500023695,160.11977000026036,152.51471500027063,160.25469100027294,154.99738400026217,153.45049200025863,194.72419200024842,125.59472300024936,162.31470600023715,112.01150300024688,131.29407000025276,122.23403100027281,151.12904100028391,223.72894600032851,224.91393800030346,220.57893800030797,316.08903000030659,273.22406400028376,305.24350500032233,188.17349200032913
Long_Value,49875.109682999995,54292.349106000001,49579.779693999997,45946.539608999999,49241.000183999997,51037.980476999997,46494.471819999999,40777.779798999996,36990.020229000002,22423.650000000001,27013.769999999997,35090.040177999996,38046.520131999998,36044.238699000001,40042.409295000005,37212.650084000001,68343.740271999995,57850.349687000002,61581.890178000001,61447.070793999999,71422.919756999996,67754.309718000004,82987.929135999992,77367.929892,69423.910161000007,74118.329969000013,76063.309925999987,86808.261480999994,84083.719752000005,86683.059857,81927.709684999994,91039.873777000001,98205.726209999993,100547.71216099999,109409.30101600001,114766.09948,100420.35829800001,113675.269093,117556.89025500001,124002.94802500001,115008.72146100001,107000.86786999999,115514.29085200001,123800.74135800001,105888.199704,115253.82034600001,118817.35960700001,104185.459523,114897.75011199999,114909.31146600001,102604.76205600001,97782.128750000018,92107.550000000003,94372.759230000011,94279.08985199999,109077.35823299999,121875.495348,119202.006502,109087.86964800001,108537.83029500001,96872.719444000002,87129.629725000006,89386.819999999992,73144.559855,70465.859559999997,59483.970215999994,65925.119611999995,71384.759762999995,64208.100103000004,63916.770216000004,58084.310211000011,55859.029788999993,62026.489999999991,71591.800000000003,66935.349999999991,68869.429766999994,62205.009999999995,74363.860000000015,72958.660000000003,75593.380000000005,59521.260000000002,48100.969999999994,51720.299999999996,53763.32,64355.039999999994,61106.809999999998,51800.870000000003,57386.029999999992,54520.530000000006,50050.189999999995,39238.050000000003,40904.729999999996,38643.979999999996,42779.710000000006,39163.739999999998,39746.110000000001,41208.160137999992,59549.289872000001,64480.020000000004,85855.839999999997,75130.540000000008,92248.739518000002,105035.39941300001,86889.190000000002,91713.960542999994,79149.23000000001
Short_Value,-49925.471128999998,-54484.959654999999,-49656.598490999997,-45883.770993999999,-49192.629667000001,-51014.630309999993,-46671.259824000001,-40936.979546000002,-37106.019701999998,-22563.089661999998,-27175.288648000002,-35202.539291000001,-38126.190280999996,-36124.980068999997,-40197.239292000006,-37305.472365000001,-68530.297579999999,-58043.407914999996,-61713.201630999996,-61635.999939999994,-71634.100319000005,-67739.418177,-83176.307022000008,-77577.620492999995,-69501.321594000008,-74229.699693000002,-76111.930240000002,-86728.420438000001,-84032.091159999996,-86522.576501000003,-81866.961982000008,-90980.938660999993,-98155.630696000007,-100566.24975400002,-109433.10147700002,-114915.91157099999,-100325.719868,-113832.28229800001,-117674.68226700003,-123919.22989700001,-115104.36833899999,-107080.53086900001,-115653.16120499998,-123636.21044,-105787.67078399999,-115232.46916499999,-118591.450237,-104065.60993000001,-114863.019921,-114758.630416,-102529.31048499998,-97643.28078299998,-92070.349343999987,-94266.010771000001,-94155.350475999992,-108892.64912099999,-121871.72029300001,-119026.399556,-108889.52816700001,-108467.278901,-96667.600621000005,-87033.620972999997,-89263.660078000001,-73074.311511999986,-70344.719163000002,-59437.800480000005,-65870.829165999996,-71406.819290000014,-64172.119626999993,-63853.669974999997,-58041.360057999998,-55867.260228999992,-61961.659636999997,-71534.019971999995,-66818.480620000002,-68839.638730999999,-62162.201214000001,-74164.139079,-72856.660571,-75466.769999000011,-59434.659863000001,-48050.530896000011,-51680.269737000002,-53657.500075999989,-64132.530017000005,-61007.310365999998,-51703.000198999995,-57331.469791999989,-54477.749634999993,-49998.100686999998,-39186.229699999996,-40908.590076,-38605.769999999997,-42769.700039000003,-39170.020128999997,-39811.600259999999,-41216.860084999993,-59562.100168999998,-64435.440087999996,-85790.481789000012,-75072.740142999988,-92165.849102000007,-104887.160754,-86720.250979999983,-91561.170446999997,-79085.569709000003
Long_Return,0,0.088566009199286616,-0.086799880454596232,-0.073280682314925294,0.071702039000880041,0.036493578243439052,-0.089022108918426102,-0.1229542308412872,-0.09288783226233624,-0.39379189680950849,0.20469994849188222,0.29896864369541903,0.084254105695028322,-0.052627189715464318,0.11092398508921558,-0.070669054655343858,0.83657278150650061,-0.15353843004842202,0.06450333509113676,-0.0021892699884708332,0.16234864956287043,-0.05136460468826521,0.22483616881942692,-0.067720683025961265,-0.10267845788415518,0.067619639935481063,0.02624155128445908,0.1412632656329772,-0.031385742353523795,0.030913714482025734,-0.054859048352063823,0.1112220044602118,0.078711142005233631,0.023847753500564388,0.088133172446634919,0.048961088447284883,-0.1249998148146526,0.13199425912886806,0.034146575530200673,0.054833517252944101,-0.072532360780541177,-0.069628228966231234,0.079564055427506872,0.071735284395389912,-0.14468848455601357,0.088448199782229522,0.030919055440435769,-0.12314614743499135,0.1028194398531702,0.0001006229798995169,-0.10708052509426744,-0.04700204171194193,-0.058032882107815778,0.024593089600146868,-0.00099254677689072056,0.15696235935487321,0.11733083127721082,-0.021936229578933691,-0.084848713128250056,-0.0050421678851630637,-0.10747506946927959,-0.10057619704412513,0.025906115773981456,-0.18170755090068083,-0.036622003062294621,-0.15584695074427052,0.10828378422977995,0.082815779222434827,-0.1005348996596299,-0.004537276239799346,-0.091250856156996171,-0.038311213715310578,0.11041115884570056,0.15421330467031125,-0.065041666783067498,0.028894743465149628,-0.0967689116861742,0.1954641595588526,-0.018896275690906999,0.03611250535577272,-0.21261279757566073,-0.19186909013686887,0.075244428542709269,0.039501317664437451,0.19700643487046549,-0.050473591501147323,-0.15228973661037118,0.10781981074835208,-0.049933755654468275,-0.081993700354710611,-0.21602595314822967,0.042476116932416187,-0.055268669417937732,0.10702132647827711,-0.084525350919863837,0.014870132423512225,0.036784735361523213,0.44508489756830438,0.082800821615144501,0.33151075325348833,-0.12492219515876833,0.22784608653152222,0.13861067329277721,-0.17276279725132446,0.055527857297323076,-0.13699910535549298
Short_Return,0,0.091325898842676126,-0.088618238768520596,-0.075978371689792726,0.07211392179236284,0.037038081829202325,-0.085139703249963491,-0.12286534153190418,-0.093581888221509785,-0.39192913055064599,0.2044134493587425,0.29538787046483772,0.083052275457511246,-0.052489120923190996,0.11272696110065246,-0.071939441064439447,0.83700388268760084,-0.15302559649267472,0.063224987088527335,-0.0012509753012266633,0.16221202525687475,-0.054369108073616605,0.22788635126248241,-0.067311073663310989,-0.10410604047501985,0.068032923555344182,0.025356839038613233,0.13948523134971802,-0.031089339162213195,0.029637312443623914,-0.053808089255712198,0.111326675112286,0.078859287896922162,0.024559152041577659,0.088169259017708584,0.050101934606617313,-0.12696406880073821,0.13462711703211086,0.033754923396344221,0.053066194951190186,-0.071133927844183764,-0.069709235068894634,0.080057787035885564,0.069025776311031656,-0.1443633672730677,0.089280710228365229,0.029149605977724254,-0.12248640418825062,0.10375579404438122,-0.00090881734671259529,-0.10656557930910067,-0.047654955240480475,-0.057074397688307278,0.023847649570617163,-0.0011739151163279342,0.15652109593874339,0.11919143557227492,-0.023346849705242322,-0.085164899776967187,-0.0038777766155109489,-0.10878560243748502,-0.099660895544221556,0.025622731538330657,-0.18136550251080347,-0.037353651269800073,-0.15504957319862087,0.10823127090923587,0.08404312188099014,-0.10131664923511285,-0.0049624300062236079,-0.091025463677743751,-0.037457768508998679,0.10908713588278808,0.15448844319340868,-0.065920234230450903,0.030248489523346436,-0.096999891924084161,0.19307453131658014,-0.017629524514634596,0.035825268514145206,-0.21243933106203494,-0.19154023920118332,0.075540036151861764,0.03825890129951097,0.19522023810582453,-0.048730646524807075,-0.15251139758794205,0.10886156647267167,-0.04977580667918273,-0.082228964632598947,-0.21624563410288095,0.043953204714665475,-0.056291846571143694,0.10785771243521387,-0.084164254290247542,0.016379366895576366,0.035297747787644287,0.44509067517921791,0.081819477573364718,0.33141764333160861,-0.12492926280983124,0.22768729270359306,0.13802630557790777,-0.17320432399355606,0.055822249270432348,-0.13625427325900635
Long_Position 1,"('CDE', 4995.8999999999996)","('CDE', 5446.6000000000004)","('CDE', 4969.1999999999998)","('CDE', 4595.79)","('CDE', 4929.75)","('CDE', 5106.8999999999996)","('NCMGY', 4645.1999999999998)","('AU', 4064.9200000000001)","('IAG', 3703.5799999999999)","('CDE', 2245.6799999999998)","('IAG', 2707.2000000000003)","('IAG', 3519.3600000000001)","('IAG', 3809.8800000000001)","('IAG', 3611.7600000000002)","('NCMGY', 4013.6001730000003)","('CDE', 3725.9999999999995)","('CDE', 6838.5100000000002)","('CDE', 5793.3000000000002)","('CDE', 6162.7999999999993)","('CDE', 6146.8400000000001)","('CDE', 7154.5)","('CDE', 6787.0399999999991)","('CDE', 8302.8396360000006)","('CDE', 7747.739571000001)","('CDE', 6939.8999999999996)","('CDE', 7412.9000000000005)","('CDE', 7609.8400000000001)","('CDE', 8691.2000000000007)","('CDE', 8410.6999999999989)","('CDE', 8663.2199999999993)","('CDE', 8193.7399999999998)","('CDE', 9107.8405319999983)","('CDE', 9820.5600000000013)","('CDE', 10057.680488)","('CDE', 10933.150000000001)","('CDE', 11474.4)","('CDE', 10030.019571000001)","('CDE', 11375.110000000001)","('IAG', 11758.68)","('CDE', 12398.609608999999)","('IAG', 11514.349453000001)","('IAG', 10711.960000000001)","('AU', 11533.499725)","('CDE', 12373.34)","('NCMGY', 10580.920321999998)","('CDE', 11532.07)","('KGC', 11874.5)","('IAG', 10413.449999999999)","('IAG', 11483.639999999999)","('IAG', 11491.199999999999)","('IAG', 10259.879999999999)","('IAG', 9771.2000000000007)","('CDE', 9210.5)","('CDE', 9429.7194630000013)","('CDE', 9427.1794220000011)","('AU', 10909.799999999999)","('AU', 12162.349652999999)","('HMY', 11918.800000000001)","('IAG', 10907.26)","('IAG', 10862.09)","('IAG', 9685.5)","('IAG', 8714.8199999999997)","('IAG', 8942.3999999999996)","('IAG', 7319.3100000000004)","('IAG', 7048.8000000000002)","('IAG', 5949.4200000000001)","('IAG', 6594.1399999999994)","('IAG', 7139.7199999999993)","('IAG', 6422.0)","('HMY', 6395.3999999999996)","('HMY', 5808.3000000000002)","('IAG', 5587.7399999999998)","('AU', 6192.7200000000003)","('NCMGY', 7162.7200000000003)","('CDE', 6688.7999999999993)","('CDE', 6884.6999999999998)","('CDE', 6224.3999999999996)","('CDE', 7435.8000000000002)","('CDE', 7293.0)","('CDE', 7555.6800000000003)","('CDE', 5952.0)","('CDE', 4810.0)","('IAG', 5173.7199999999993)","('AU', 5376.5999999999995)","('IAG', 6432.0299999999997)","('CDE', 6108.6399999999994)","('CDE', 5181.0)","('IAG', 5741.1200000000008)","('IAG', 5452.5799999999999)","('IAG', 5006.0)","('IAG', 3923.1199999999999)","('IAG', 4091.5)","('CDE', 3869.04)","('CDE', 4276.8000000000002)","('CDE', 3919.3600000000001)","('CDE', 3975.4400000000001)","('CDE', 4121.6499999999996)","('RGLD', 5935.359872)","('IAG', 6448.7799999999997)","('IAG', 8588.3999999999996)","('IAG', 7517.5599999999995)","('IAG', 9228.0599999999995)","('IAG', 10505.440000000001)","('IAG', 8687.6000000000004)","('IAG', 9173.25)","('IAG', 7912.7600000000002)"
Long_Position 2,"('RGLD', 4989.9598340000002)","('RGLD', 5419.7200000000003)","('RGLD', 4947.8800000000001)","('IAG', 4598.6199999999999)","('IAG', 4928.9400000000005)","('IAG', 5106.1999999999998)","('HMY', 4659.1100000000006)","('NCMGY', 4076.1599999999999)","('AU', 3696.0)","('IAG', 2244.0)","('NCMGY', 2697.7500000000005)","('NCMGY', 3504.0)","('AU', 3787.080132)","('NCMGY', 3612.7000000000003)","('HMY', 4004.04)","('HMY', 3718.6800000000003)","('HMY', 6836.5)","('HMY', 5789.5200000000004)","('HMY', 6157.8999999999996)","('HMY', 6147.6000000000004)","('HMY', 7154.7599999999993)","('HMY', 6782.7600000000002)","('HMY', 8302.7999999999993)","('HMY', 7749.54)","('HMY', 6941.6899999999996)","('HMY', 7413.5600000000004)","('HMY', 7612.4400000000005)","('HMY', 8685.5299999999988)","('HMY', 8411.9200000000001)","('HMY', 8667.3999999999996)","('RGLD', 8164.0501850000001)","('RGLD', 9077.9500000000007)","('RGLD', 9818.4800000000014)","('RGLD', 10050.529594000001)","('RGLD', 10922.24)","('IAG', 11480.999355)","('GG', 10052.499750000001)","('RGLD', 11362.979771)","('GG', 11752.799763999999)","('IAG', 12387.75)","('NCMGY', 11478.400272000001)","('NCMGY', 10692.0)","('NCMGY', 11561.619999999999)","('AU', 12381.360275999999)","('AEM', 10594.560000000001)","('KGC', 11523.049999999999)","('AEM', 11893.200264999999)","('KGC', 10419.6)","('KGC', 11493.219999999999)","('KGC', 11489.960000000001)","('HMY', 10263.27)","('HMY', 9777.5999999999985)","('IAG', 9208.2099999999991)","('IAG', 9440.0)","('IAG', 9424.4400000000005)","('HMY', 10905.579999999998)","('HMY', 12186.09)","('KGC', 11928.059999999999)","('AU', 10901.439648)","('HMY', 10859.52)","('HMY', 9683.5399999999991)","('HMY', 8719.9799999999996)","('HMY', 8941.9500000000007)","('HMY', 7320.5100000000002)","('HMY', 7047.4799999999996)","('NCMGY', 5947.1600000000008)","('AU', 6585.0)","('AU', 7139.5799999999999)","('HMY', 6422.0)","('KGC', 6398.3400000000001)","('KGC', 5812.1400000000003)","('HMY', 5588.7699999999995)","('NCMGY', 6203.1199999999999)","('HMY', 7160.4000000000005)","('NCMGY', 6693.1200000000008)","('HMY', 6889.2600000000002)","('HMY', 6222.1999999999998)","('NCMGY', 7437.4300000000003)","('NCMGY', 7293.3499999999995)","('AU', 7559.1999999999998)","('AU', 5952.0)","('AU', 4804.8699999999999)","('AU', 5170.2400000000007)","('HMY', 5377.0499999999993)","('AU', 6437.6000000000004)","('IAG', 6112.75)","('IAG', 5179.9000000000005)","('AU', 5732.9800000000005)","('AU', 5451.0200000000004)","('AU', 5003.0499999999993)","('AU', 3922.9200000000001)","('AU', 4092.4799999999996)","('AU', 3865.6799999999998)","('IAG', 4278.6000000000004)","('IAG', 3917.04)","('IAG', 3974.5799999999999)","('RGLD', 4111.0201379999999)","('KGC', 5956.4399999999996)","('KGC', 6449.8000000000002)","('NCMGY', 8578.1999999999989)","('NCMGY', 7507.2000000000007)","('HMY', 9223.5499999999993)","('NCMGY', 10501.76)","('HMY', 8687.3299999999999)","('NCMGY', 9160.410543)","('HMY', 7914.8800000000001)"
Long_Position 3,"('IAG', 4992.6000000000004)","('AU', 5417.9998500000002)","('IAG', 4969.7399999999998)","('NCMGY', 4586.3998320000001)","('AU', 4905.3901409999999)","('NCMGY', 5104.2001810000002)","('KGC', 4646.3999999999996)","('HMY', 4084.9900000000002)","('NCMGY', 3690.0)","('NCMGY', 2236.0)","('HMY', 2704.3200000000002)","('KGC', 3499.8000000000002)","('NCMGY', 3802.4000000000001)","('HMY', 3605.98)","('KGC', 4002.8802239999995)","('ABX', 3724.8000000000002)","('ABX', 6816.3203579999999)","('ABX', 5770.5998280000003)","('ABX', 6142.4003520000006)","('ABX', 6141.9001770000004)","('ABX', 7125.2003759999998)","('ABX', 6754.8400000000001)","('KGC', 8308.2999999999993)","('KGC', 7746.3999999999996)","('KGC', 6943.0200000000004)","('KGC', 7411.0804089999992)","('KGC', 7605.0500000000002)","('KGC', 8669.2895430000008)","('KGC', 8415.6895110000005)","('KGC', 8664.6299999999992)","('HMY', 8200.0)","('KGC', 9102.9600000000009)","('HMY', 9833.5900000000001)","('GG', 10032.75)","('IAG', 10941.839332000001)","('GG', 11495.0)","('SLW', 10040.799674)","('IAG', 11384.400537)","('SLW', 11750.560270999998)","('NCMGY', 12387.409729000001)","('KGC', 11507.040000000001)","('ABX', 10688.440235999999)","('SLW', 11545.600640000001)","('NCMGY', 12369.199710999999)","('EGO', 10592.519382)","('AEM', 11498.349735000002)","('EGO', 11883.479342000001)","('AEM', 10423.84)","('AEM', 11481.800614)","('AEM', 11470.799684)","('KGC', 10259.919999999998)","('KGC', 9773.3999999999996)","('KGC', 9213.3199999999997)","('KGC', 9437.7000000000007)","('KGC', 9431.8500000000004)","('KGC', 10902.5)","('KGC', 12190.740000000002)","('AEM', 11919.390421999999)","('HMY', 10910.57)","('KGC', 10857.240000000002)","('KGC', 9686.7100000000009)","('KGC', 8717.2800000000007)","('KGC', 8937.1100000000006)","('KGC', 7316.8000000000002)","('KGC', 7051.0)","('HMY', 5951.2200000000003)","('HMY', 6595.0500000000002)","('HMY', 7138.6400000000003)","('KGC', 6423.5999999999995)","('AEM', 6378.4802159999999)","('AEM', 5810.9402110000001)","('KGC', 5588.8800000000001)","('HMY', 6206.3999999999996)","('KGC', 7161.8399999999992)","('HMY', 6697.7999999999993)","('KGC', 6885.7599999999993)","('KGC', 6225.6599999999999)","('HMY', 7436.8800000000001)","('HMY', 7299.2699999999995)","('NCMGY', 7557.1799999999994)","('NCMGY', 5948.3199999999997)","('HMY', 4809.7800000000007)","('NCMGY', 5170.46)","('KGC', 5374.9200000000001)","('HMY', 6438.6999999999998)","('AU', 6108.3400000000001)","('AU', 5174.3599999999997)","('HMY', 5742.3999999999996)","('HMY', 5443.4399999999996)","('HMY', 5006.2400000000007)","('HMY', 3923.0)","('HMY', 4085.7200000000003)","('HMY', 3844.1999999999998)","('HMY', 4282.6400000000003)","('HMY', 3917.4200000000001)","('HMY', 3976.6800000000003)","('HMY', 4124.1599999999999)","('GG', 5957.1199999999999)","('GG', 6443.3100000000004)","('HMY', 8590.0200000000004)","('HMY', 7515.3600000000006)","('KGC', 9222.5399999999991)","('HMY', 10506.43)","('KGC', 8686.2299999999996)","('HMY', 9171.7200000000012)","('KGC', 7917.0)"
Long_Position 4,"('AU', 4985.9998800000003)","('ABX', 5402.8001039999999)","('AU', 4958.1598540000005)","('KGC', 4595.1300000000001)","('SLW', 4930.0)","('HMY', 5108.25)","('GG', 4631.3997520000003)","('KGC', 4079.6002480000002)","('KGC', 3691.4802289999998)","('GG', 2239.1999999999998)","('KGC', 2699.25)","('FNV', 3506.720202)","('HMY', 3811.4000000000001)","('KGC', 3613.6199999999999)","('ABX', 3987.6597539999998)","('GG', 3715.1999999999998)","('SLW', 6838.0)","('SLW', 5792.7200000000003)","('SLW', 6159.7799999999997)","('NEM', 6149.0698469999998)","('NEM', 7131.2400000000007)","('NEM', 6779.7598440000002)","('ABX', 8281.8598060000004)","('ABX', 7718.4801960000004)","('NEM', 6986.1801629999991)","('FNV', 7412.4000000000005)","('SLW', 7604.8000000000002)","('SLW', 8686.3999999999996)","('ABX', 8416.0004000000008)","('SLW', 8663.1000000000004)","('KGC', 8194.9994999999999)","('AEM', 9095.8001399999994)","('ABX', 9813.4802119999986)","('SLW', 10062.5)","('GG', 10941.6)","('SLW', 11477.760294)","('GOLD', 10020.189737999999)","('NCMGY', 11370.479708000001)","('NEM', 11734.700430000001)","('SLW', 12389.099695000001)","('SLW', 11502.75)","('SLW', 10692.0)","('AEM', 11540.25)","('GFI', 12377.790747000001)","('SSRI', 10587.950000000001)","('EGO', 11529.570610999999)","('BTG', 11883.780000000001)","('EGO', 10419.6)","('EGO', 11483.6)","('GFI', 11481.392241)","('AEM', 10247.660307)","('AEM', 9780.3995099999993)","('AEM', 9185.6400000000012)","('AEM', 9427.1797670000014)","('AEM', 9423.4504300000008)","('GFI', 10903.19823)","('GFI', 12194.644306)","('GFI', 11922.026188)","('KGC', 10906.559999999999)","('GG', 10826.500295)","('SLW', 9688.2994440000002)","('SLW', 8698.2497249999997)","('GFI', 8935.75)","('ABX', 7312.4096289999998)","('AEM', 7042.1995600000009)","('KGC', 5946.5999999999995)","('KGC', 6595.0300000000007)","('KGC', 7139.0)","('ABX', 6423.9003449999991)","('EGO', 6392.25)","('GFI', 5810.4899999999998)","('AEM', 5566.1797890000007)","('KGC', 6201.3199999999997)","('GFI', 7158.5999999999995)","('KGC', 6690.2399999999998)","('AEM', 6887.4797670000007)","('AEM', 6199.1999999999998)","('KGC', 7435.4399999999996)","('KGC', 7297.71)","('HMY', 7560.4800000000005)","('HMY', 5950.8000000000002)","('KGC', 4807.3999999999996)","('HMY', 5172.75)","('ABX', 5375.0)","('KGC', 6444.3900000000003)","('HMY', 6108.1800000000003)","('HMY', 5176.5)","('KGC', 5739.6600000000008)","('KGC', 5456.6999999999998)","('KGC', 5006.5599999999995)","('KGC', 3927.5599999999999)","('KGC', 4090.1500000000001)","('KGC', 3870.0)","('KGC', 4281.2999999999993)","('KGC', 3918.7199999999998)","('KGC', 3974.8800000000001)","('KGC', 4119.6799999999994)","('AUY', 5958.3199999999997)","('AUY', 6447.8400000000001)","('GG', 8583.8999999999996)","('KGC', 7514.6399999999994)","('GG', 9220.6595180000004)","('KGC', 10505.440000000001)","('AUY', 8684.6499999999996)","('KGC', 9173.5900000000001)","('GG', 7915.4400000000005)"
